time,open,high,low,close,vwap,volume,count,sma,ema,rsi,macd,macdsignal,macdhist,upperband,middleband,lowerband
1702399500,41284.0,41284.0,41279.0,41283.9,41283.9,0.35873437,15,41250.74,41238.60441794008,57.48788752565004,-3.2166101685725152,-6.528364958207681,3.311754789635166,41347.1049189101,41250.740000000005,41154.37508108991
1702399560,41284.0,41284.0,41255.6,41255.6,41283.3,0.82560934,14,41249.7,41240.22304480293,52.40971598030786,-1.5201361182553228,-5.526719190217209,4.006583071961886,41345.38128342122,41249.700000000004,41154.01871657879
1702399620,41274.2,41295.5,41257.5,41257.5,41281.1,3.61515437,29,41248.76,41241.868469107416,52.711736349417585,-0.022099342437286396,-4.425795220661224,4.403695878223938,41343.74436501489,41248.76,41153.77563498511
1702399680,41257.5,41257.5,41249.3,41249.4,41257.2,0.06817946,8,41246.985,41242.58575776385,51.21939396345498,0.5056741923690424,-3.439501338055171,3.9451755304242133,41340.517289070354,41246.985,41153.45271092965
1702399740,41249.3,41261.7,41237.3,41237.3,41248.4,0.02406616,14,41245.35,41242.082352262536,48.98819831663385,-0.051832858051056974,-2.761967642054348,2.710134784003291,41338.35762332928,41245.350000000006,41152.342376670735
1702399800,41237.3,41273.4,41237.3,41270.6,41261.2,1.11237859,23,41246.3,41244.79831871372,54.82107337192596,2.168374813081755,-1.7758991510271276,3.9442739641088824,41339.92963204837,41246.3,41152.670367951636
1702399860,41254.8,41297.3,41246.7,41297.3,41290.7,2.78767297,22,41247.130000000005,41249.79847883622,58.88089859508317,6.013057463540463,-0.21810782811360951,6.231165291654072,41342.24719294931,41247.13000000001,41152.01280705071
1702399920,41290.5,41298.9,41289.8,41290.5,41291.2,1.58042477,18,41246.83500000001,41253.67481418516,57.46460214132749,8.414298201489146,1.5083733778069417,6.905924823682204,41341.3739713129,41246.83500000001,41152.29602868711
1702399980,41290.5,41300.0,41290.4,41299.9,41299.3,0.15892829,18,41247.005000000005,41258.07721283419,58.935066448154,10.949580281630915,3.3966147585717366,7.552965523059179,41341.91210139341,41247.00500000001,41152.09789860661
1702400040,41299.7,41299.7,41297.4,41297.4,41298.7,0.01015764,4,41247.055,41261.82224018332,58.35724243249801,12.611700654604647,5.239631937778318,7.372068716826329,41342.067135523626,41247.05500000001,41152.04286447639
1702400100,41297.4,41297.5,41297.4,41297.5,41297.4,0.02762305,5,41247.104999999996,41265.22012207062,58.37482258276457,13.778185839641083,6.947342718150871,6.8308431214902114,41342.22215878967,41247.10500000001,41151.98784121035
1702400160,41297.4,41297.4,41269.7,41296.6,41279.7,2.52616225,22,41247.735,41268.20868187342,58.1369400986231,14.463287499260332,8.450531674372764,6.012755824887568,41343.98150174014,41247.73500000001,41151.488498259874
1702400220,41298.0,41300.0,41275.0,41283.4,41290.1,7.38414316,31,41250.765,41269.655474075946,54.62121923201247,13.782232816636679,9.516871902825546,4.265360913811133,41347.49510440175,41250.76500000001,41154.03489559826
1702400280,41284.2,41315.1,41284.2,41301.1,41307.9,26.04395896,49,41255.815,41272.650190830616,58.265728601927094,14.50354629530193,10.514206781320823,3.9893395139811076,41351.981715125,41255.81500000001,41159.64828487502
1702400340,41299.6,41317.8,41299.6,41317.8,41315.6,3.09461032,27,41263.6,41276.950172656274,61.414480805957474,16.235589091462316,11.65848324334912,4.577105848113195,41353.14071697362,41263.60000000001,41174.05928302641
1702400400,41304.5,41304.5,41275.0,41275.1,41284.7,0.20747329,20,41269.575,41276.77396573663,50.8503114857927,14.001313913620834,12.127049377403463,1.874264536217371,41344.19662887525,41269.57500000001,41194.95337112477
1702400460,41275.0,41301.7,41275.0,41275.0,41275.4,0.73808209,15,41275.55,41276.60501661886,50.828260570310825,12.083277077268576,12.118294917376485,-0.03501784010790843,41328.73693445356,41275.55000000001,41222.36306554646
1702400520,41275.1,41275.1,41275.0,41275.0,41275.0,0.27135432,18,41278.1,41276.452157893254,50.82826057031083,10.442840500894818,11.783204034080152,-1.340363533185334,41325.759416648856,41278.10000000001,41230.44058335117
1702400580,41275.0,41275.1,41233.2,41237.2,41262.2,2.09082425,31,41279.045,41272.71385714152,42.709045600218616,6.023206824240333,10.631204592112187,-4.607997767871854,41322.48693708413,41279.045000000006,41235.60306291588
1702400640,41229.5,41248.1,41227.4,41238.4,41236.7,0.38269397,16,41276.825,41269.44587074709,43.02021987866938,2.587616828866885,9.022487039463126,-6.434870210596241,41323.6765901424,41276.825000000004,41229.97340985761
1702400700,41236.7,41236.8,41235.6,41236.8,41236.6,0.01046981,7,41274.47,41266.33674019975,42.687299990423654,-0.26120857297064504,7.165747916976372,-7.426956489947017,41324.302483358806,41274.47000000001,41224.63751664121
1702400760,41236.8,41236.8,41224.7,41224.7,41233.4,0.57416344,8,41272.925,41262.3713363712,40.15641659484238,-3.455459716024052,5.041506390376287,-8.49696610640034,41326.75736480094,41272.925,41219.092635199064
1702400820,41224.7,41228.6,41209.2,41209.2,41216.4,3.57872014,24,41270.509999999995,41257.30739957394,37.120316198078015,-7.155166911114065,2.602171730078216,-9.75733864119228,41330.835646283085,41270.51,41210.18435371692
1702400880,41209.1,41221.9,41209.1,41221.9,41209.2,3.07789987,21,41269.135,41253.93526628119,41.0529198783288,-8.959152127652487,0.28990695853207527,-9.249059086184563,41332.4996676032,41269.135,41205.7703323968
1702400940,41221.9,41233.3,41206.5,41206.5,41207.9,3.6873898,27,41267.595,41249.41762187346,37.95321672015374,-11.498922287304595,-2.0678588906352586,-9.431063396669336,41335.32630664322,41267.595,41199.86369335678
1702401000,41206.5,41206.5,41206.4,41206.5,41206.4,0.29357782,12,41264.39,41245.33022931408,37.95321672015374,-13.35772885355982,-4.325832883220171,-9.031895970339649,41337.13032994528,41264.39,41191.64967005472
1702401060,41206.5,41206.5,41173.2,41175.5,41184.2,3.72947991,33,41258.3,41238.679731284166,32.26564657030667,-17.13476842707314,-6.887619991990765,-10.247148435082376,41338.96272992454,41258.3,41177.637270075465
1702401120,41177.0,41188.2,41166.0,41177.0,41176.8,0.45599206,17,41252.625,41232.80547116186,32.79048207233198,-19.779061330227705,-9.465908259638153,-10.313153070589552,41339.18263109196,41252.625,41166.06736890804
1702401180,41177.0,41228.3,41177.0,41221.8,41202.5,1.40693012,21,41248.719999999994,41231.75733105121,46.19888197732195,-18.0516092021644,-11.183048448143403,-6.868560754020997,41333.42111215012,41248.72,41164.01888784988
1702401240,41213.0,41213.0,41166.0,41166.1,41180.5,0.89334475,12,41242.155000000006,41225.504251903476,36.45972391688226,-20.93578079182771,-13.133594916880265,-7.802185874947446,41330.99837848555,41242.155,41153.31162151445
1702401300,41166.1,41166.1,41147.8,41164.4,41153.3,2.94439789,29,41235.5,41219.684799341245,36.20883417764907,-23.092487526846526,-15.125373438873517,-7.967114087973009,41326.673153946904,41235.5,41144.326846053096
