time,open,high,low,close,vwap,volume,count
1702415220,41294.2,41294.2,41292.8,41292.9,41293.2,0.34170989,12
1702415280,41292.9,41292.9,41292.8,41292.9,41292.8,0.24751032,10
1702415340,41292.9,41292.9,41292.8,41292.8,41292.8,1.00188979,4
1702415400,41292.8,41292.8,41276.1,41280.1,41292.6,1.02680275,10
1702415460,41285.2,41285.2,41264.5,41264.5,41282.1,1.28198529,11
1702415520,41269.1,41301.3,41269.1,41298.8,41297.9,0.06115797,18
1702415580,41297.2,41321.6,41297.2,41319.5,41309.6,0.11376417,8
1702415640,41319.6,41329.1,41319.6,41319.6,41328.9,1.33100460,8
1702415700,41319.6,41323.2,41312.2,41312.2,41320.0,10.07100715,21
1702415760,41298.8,41336.3,41298.8,41335.7,41333.6,1.33199394,29
1702415820,41319.1,41319.1,41287.1,41287.7,41293.9,3.42389128,11
1702415880,41281.3,41302.5,41279.2,41281.3,41284.9,0.13717759,13
1702415940,41281.3,41314.4,41281.3,41314.4,41312.3,1.54530522,13
1702416000,41314.3,41314.4,41273.1,41273.2,41284.3,0.81392079,21
1702416060,41273.1,41273.2,41269.1,41269.1,41270.2,0.05090243,7
1702416120,41269.1,41269.1,41256.6,41256.6,41259.8,0.01588611,13
1702416180,41248.9,41248.9,41248.8,41248.9,41248.8,0.10937573,7
1702416240,41248.8,41248.9,41248.8,41248.9,41248.8,0.05493805,12
1702416300,41248.8,41268.9,41248.8,41268.9,41255.4,0.14126620,18
1702416360,41267.2,41273.2,41261.2,41261.2,41268.9,0.09828936,6
1702416420,41259.8,41272.7,41259.8,41272.7,41264.0,0.00148795,2
1702416480,41272.7,41272.8,41266.2,41266.9,41271.7,0.39965678,15
1702416540,41267.0,41267.0,41262.5,41262.6,41263.3,0.02128252,9
1702416600,41260.8,41260.8,41248.8,41248.9,41248.9,0.28315709,16
1702416660,41248.8,41248.9,41248.8,41248.9,41248.8,0.12589001,10
1702416720,41248.9,41248.9,41227.9,41236.0,41232.2,0.34214499,18
1702416780,41234.0,41256.5,41234.0,41256.5,41249.6,0.09443513,11
1702416840,41256.5,41256.5,41244.0,41244.0,41249.3,0.11877616,14
1702416900,41244.0,41244.0,41232.6,41232.7,41233.9,0.21209624,15
1702416960,41232.7,41246.8,41232.7,41246.8,41246.5,1.27960084,20
1702417020,41246.7,41246.8,41246.7,41246.8,41246.7,5.46916904,18
1702417080,41246.8,41246.8,41246.7,41246.8,41246.7,0.46251305,13
1702417140,41246.8,41246.8,41246.7,41246.8,41246.7,0.03896468,7
1702417200,41246.8,41246.8,41246.7,41246.8,41246.7,0.02903992,5
1702417260,41246.8,41246.8,41246.7,41246.8,41246.7,0.04114764,6
1702417320,41246.8,41246.8,41242.4,41246.7,41246.6,1.07098906,22
1702417380,41246.7,41246.8,41242.5,41242.5,41246.7,0.48623411,11
1702417440,41242.5,41242.5,41193.0,41196.5,41199.0,2.14054247,13
1702417500,41190.0,41198.4,41189.0,41189.0,41193.4,0.06004143,15
1702417560,41188.9,41188.9,41156.9,41156.9,41160.8,0.46940702,7
1702417620,41156.9,41156.9,41147.8,41147.8,41155.4,0.32135510,11
1702417680,41147.8,41147.8,41127.4,41127.4,41144.4,0.13763769,18
1702417740,41139.7,41146.3,41133.6,41146.2,41141.9,6.73721109,20
1702417800,41147.6,41168.7,41147.6,41168.6,41165.6,0.20188537,13
1702417860,41165.0,41165.0,41092.9,41098.9,41148.0,0.37797355,32
1702417920,41099.1,41112.9,41027.3,41041.5,41052.6,7.58325260,61
1702417980,41039.3,41068.1,41039.3,41045.5,41046.1,0.07480272,16
1702418040,41045.5,41064.8,41045.5,41054.0,41061.6,0.63510145,11
1702418100,41053.9,41054.0,41053.9,41053.9,41053.9,0.15225904,13
1702418160,41053.9,41089.9,41053.9,41073.1,41054.2,1.93531714,12
1702418220,41066.9,41069.4,41054.0,41069.4,41067.6,0.35687086,14
1702418280,41065.7,41073.0,41065.7,41067.1,41067.6,0.19467716,12
1702418340,41067.1,41080.0,41067.0,41080.0,41068.2,0.10483446,16
1702418400,41080.0,41080.0,41067.1,41079.9,41070.4,0.79769890,24
1702418460,41079.9,41116.3,41079.9,41116.3,41085.1,0.63441573,18
1702418520,41116.3,41127.5,41094.5,41094.5,41109.6,0.08485474,22
1702418580,41086.0,41132.8,41086.0,41132.8,41121.1,0.20734531,18
1702418640,41132.8,41177.6,41132.8,41168.0,41161.2,0.55041434,19
1702418700,41172.3,41181.6,41172.3,41174.2,41177.1,0.08672989,8
1702418760,41171.3,41171.3,41134.3,41134.3,41167.5,2.30343984,19
1702418820,41132.8,41138.1,41127.2,41128.4,41130.5,0.23490872,13
1702418880,41127.3,41132.1,41127.3,41127.9,41127.3,0.60816990,10
1702418940,41127.3,41127.3,41127.2,41127.3,41127.2,0.03625435,9
1702419000,41132.7,41142.1,41122.6,41142.1,41133.2,1.79728476,15
1702419060,41143.5,41143.5,41118.3,41124.1,41123.7,0.34670741,16
1702419120,41114.9,41139.0,41114.9,41138.9,41138.4,0.13270445,8
1702419180,41139.0,41151.6,41138.9,41145.8,41146.2,0.32273262,16
1702419240,41177.7,41180.3,41177.7,41180.3,41178.2,0.08210214,9
1702419300,41173.5,41175.7,41162.8,41175.7,41175.5,10.05539639,25
1702419360,41164.3,41164.3,41143.6,41143.6,41155.7,0.05828849,5
1702419420,41139.0,41139.0,41134.6,41134.6,41135.0,0.08866522,31
1702419480,41134.6,41134.7,41134.6,41134.7,41134.6,0.06571075,18
1702419540,41134.7,41134.7,41134.6,41134.6,41134.6,0.03773780,6
1702419600,41134.7,41134.7,41134.6,41134.7,41134.6,0.32474967,10
1702419660,41134.7,41134.7,41134.7,41134.7,41134.7,0.20340993,4
1702419720,41134.7,41134.7,41134.6,41134.7,41134.6,0.51323594,14
1702419780,41134.7,41134.7,41134.6,41134.6,41134.6,0.02097758,12
1702419840,41134.7,41175.0,41134.6,41174.9,41136.7,1.49380420,35
1702419900,41175.0,41200.0,41174.9,41200.0,41186.5,0.52122093,22
1702419960,41195.1,41200.0,41195.1,41199.9,41196.1,0.08360025,14
1702420020,41200.0,41200.0,41199.9,41199.9,41199.9,0.26683271,4
1702420080,41199.9,41199.9,41199.0,41199.1,41199.0,0.04665024,6
1702420140,41199.0,41199.1,41184.3,41184.4,41198.2,1.07523916,29
1702420200,41184.3,41184.4,41184.3,41184.4,41184.3,0.09869882,24
1702420260,41184.4,41217.2,41184.3,41217.1,41213.4,0.99197612,28
1702420320,41223.1,41223.1,41217.4,41220.5,41222.2,0.09070270,13
1702420380,41217.4,41221.1,41217.4,41221.0,41219.6,0.02549199,7
1702420440,41221.1,41225.0,41221.1,41224.9,41224.6,0.16981959,17
1702420500,41224.9,41243.0,41224.9,41243.0,41232.8,0.30650048,10
1702420560,41243.0,41246.8,41242.9,41246.8,41246.4,0.43755555,21
1702420620,41242.9,41243.0,41242.9,41243.0,41242.9,0.08481095,7
1702420680,41243.0,41243.0,41242.9,41243.0,41242.9,0.11100103,9
1702420740,41242.9,41243.0,41242.9,41243.0,41242.9,0.31971251,7
1702420800,41242.9,41243.0,41233.0,41233.0,41240.7,0.19839560,12
1702420860,41233.1,41233.1,41201.1,41201.1,41209.9,0.16360571,34
1702420920,41201.2,41201.2,41197.6,41197.6,41197.9,0.86873532,23
1702420980,41197.7,41197.7,41193.3,41193.3,41197.0,0.03858741,11
1702421040,41193.3,41193.3,41192.6,41192.6,41192.6,0.47057593,12
1702421100,41192.7,41192.7,41189.8,41189.8,41190.7,0.07000544,13
1702421160,41189.1,41189.1,41185.9,41186.0,41188.6,0.18007312,19
1702421220,41186.0,41186.0,41182.9,41183.0,41184.4,0.20423397,13
1702421280,41183.0,41183.0,41180.4,41180.4,41182.8,0.43621330,9
1702421340,41180.4,41180.4,41178.6,41178.6,41179.6,0.13259786,14
1702421400,41178.6,41178.6,41178.6,41178.6,41178.6,0.05871813,6
1702421460,41178.6,41228.4,41178.6,41228.4,41188.6,0.31277505,31
1702421520,41228.4,41232.9,41228.4,41232.9,41232.7,0.05876929,13
1702421580,41232.8,41233.0,41232.8,41233.0,41232.8,0.02248883,8
1702421640,41232.9,41233.0,41232.9,41232.9,41232.9,0.04806631,9
1702421700,41233.0,41233.0,41232.9,41232.9,41232.9,0.03579611,7
1702421760,41233.0,41246.7,41233.0,41246.7,41245.0,0.11434366,18
1702421820,41246.7,41246.7,41246.5,41246.5,41246.6,0.09482301,6
1702421880,41246.5,41246.5,41239.6,41239.6,41239.9,0.01689434,7
1702421940,41239.6,41239.6,41219.7,41219.8,41235.1,1.26743301,15
1702422000,41219.8,41231.6,41219.6,41231.6,41222.9,0.31540470,16
1702422060,41233.9,41235.1,41233.0,41235.1,41234.3,0.00951002,7
1702422120,41235.2,41235.2,41235.1,41235.2,41235.1,0.02684260,10
1702422180,41235.2,41237.7,41230.1,41237.7,41235.4,0.07289865,12
1702422240,41237.7,41246.5,41237.7,41246.5,41245.0,0.23601228,10
1702422300,41246.5,41246.8,41246.4,41246.5,41246.7,0.64144421,12
1702422360,41246.5,41246.5,41246.4,41246.5,41246.4,0.12193515,8
1702422420,41246.4,41246.8,41246.4,41246.7,41246.6,0.85385296,15
